iter	Passed	Remaining
445	1171	1454
446	1173	1451
447	1175	1448
448	1178	1446
449	1180	1442
450	1182	1439
451	1184	1436
452	1187	1433
453	1188	1429
454	1190	1425
455	1192	1422
456	1195	1420
457	1198	1418
458	1201	1416
459	1203	1413
460	1207	1411
461	1210	1409
462	1213	1406
463	1215	1404
464	1219	1403
465	1223	1402
466	1226	1399
467	1228	1396
468	1231	1394
469	1234	1391
470	1237	1390
471	1239	1387
472	1243	1385
473	1246	1382
474	1249	1380
475	1251	1377
476	1253	1374
477	1255	1371
478	1258	1368
479	1260	1365
480	1262	1362
481	1265	1359
482	1267	1356
483	1269	1353
484	1272	1351
485	1274	1348
486	1277	1345
487	1279	1342
488	1282	1340
489	1285	1338
490	1288	1335
491	1290	1332
492	1293	1330
493	1295	1327
494	1297	1324
495	1300	1321
496	1303	1319
497	1305	1315
498	1307	1313
499	1309	1309
500	1312	1306
501	1314	1304
502	1317	1301
503	1319	1298
504	1322	1295
505	1325	1294
506	1328	1291
507	1330	1288
508	1334	1287
509	1336	1284
510	1339	1281
511	1341	1278
512	1343	1275
513	1345	1272
514	1348	1269
515	1352	1268
516	1354	1265
517	1358	1263
518	1360	1260
519	1363	1258
520	1367	1257
521	1369	1253
522	1371	1251
523	1374	1248
524	1376	1245
525	1378	1242
526	1381	1240
527	1384	1237
528	1386	1234
529	1389	1232
530	1392	1229
531	1394	1226
532	1396	1223
533	1399	1221
534	1401	1218
535	1404	1216
536	1408	1214
537	1411	1211
538	1413	1208
539	1417	1207
540	1420	1205
541	1422	1201
542	1425	1199
543	1427	1196
544	1429	1193
545	1432	1190
546	1434	1187
547	1436	1184
548	1439	1182
549	1441	1179
550	1444	1176
551	1446	1173
552	1448	1171
553	1450	1168
554	1452	1164
555	1455	1162
556	1457	1159
557	1459	1155
558	1461	1152
559	1463	1150
560	1467	1148
561	1469	1145
562	1472	1142
563	1473	1139
564	1475	1136
565	1478	1133
566	1481	1131
567	1483	1128
568	1486	1125
569	1488	1123
570	1490	1120
571	1493	1117
572	1495	1114
573	1499	1112
574	1501	1109
575	1504	1107
576	1508	1105
577	1510	1102
578	1512	1099
579	1515	1097
580	1517	1094
581	1519	1091
582	1522	1089
583	1525	1086
584	1527	1083
585	1531	1081
586	1533	1079
587	1535	1076
588	1538	1073
589	1540	1070
590	1542	1067
591	1545	1064
592	1547	1062
593	1549	1059
594	1552	1056
595	1555	1054
596	1557	1051
597	1558	1048
598	1561	1045
599	1564	1042
600	1566	1039
601	1568	1037
602	1571	1034
603	1573	1031
604	1575	1028
605	1577	1025
606	1579	1022
607	1582	1020
608	1584	1017
609	1587	1014
610	1590	1012
611	1592	1009
612	1595	1007
613	1598	1005
614	1601	1002
615	1607	1001
616	1609	999
617	1612	996
618	1614	993
619	1617	991
620	1620	988
621	1622	986
622	1624	983
623	1628	981
624	1631	978
625	1633	976
626	1636	973
627	1638	970
628	1640	967
629	1643	965
630	1646	962
631	1648	959
632	1650	957
633	1653	954
634	1656	951
635	1658	949
636	1661	946
637	1663	943
638	1665	940
639	1667	937
640	1670	935
641	1672	932
642	1675	930
643	1677	927
644	1679	924
645	1681	921
646	1684	918
647	1686	916
648	1688	913
649	1691	910
650	1695	909
651	1697	906
652	1699	903
653	1702	900
654	1704	897
655	1706	895
656	1709	892
657	1712	890
658	1714	887
659	1717	884
660	1719	881
661	1721	879
662	1724	876
663	1727	874
664	1729	871
665	1731	868
666	1733	865
667	1737	863
668	1738	860
669	1742	858
670	1745	855
671	1747	853
672	1752	851
673	1754	848
674	1756	845
675	1760	843
676	1763	841
677	1766	838
678	1769	836
679	1772	833
680	1774	831
681	1776	828
682	1779	825
683	1781	823
684	1785	821
685	1787	818
686	1790	815
687	1792	812
688	1795	810
689	1797	807
690	1799	804
691	1802	802
692	1804	799
693	1806	796
694	1809	794
695	1811	791
696	1815	789
697	1818	786
698	1820	784
699	1823	781
700	1827	779
701	1831	777
702	1833	774
703	1836	772
704	1838	769
705	1840	766
706	1843	764
707	1845	761
708	1848	758
709	1850	755
710	1853	753
711	1855	750
712	1858	748
713	1861	745
714	1863	742
715	1866	740
716	1868	737
717	1870	734
718	1873	732
719	1876	729
720	1879	727
721	1881	724
722	1884	722
723	1886	719
724	1890	717
725	1892	714
726	1895	711
727	1898	709
728	1900	706
729	1903	703
730	1905	701
731	1907	698
732	1909	695
733	1911	692
734	1914	690
735	1917	687
736	1919	685
737	1922	682
738	1923	679
739	1925	676
740	1927	673
741	1930	671
742	1933	668
743	1935	666
744	1938	663
745	1942	661
746	1944	658
747	1947	656
748	1949	653
749	1952	650
750	1954	648
751	1956	645
752	1958	642
753	1960	639
754	1965	637
755	1985	640
756	1990	638
757	1994	636
758	1999	634
759	2004	632
760	2009	631
761	2014	629
762	2018	627
763	2023	625
764	2027	622
765	2032	620
766	2037	618
767	2042	616
768	2046	614
769	2051	612
770	2056	610
771	2061	608
772	2066	606
773	2073	605
774	2078	603
775	2084	601
776	2089	599
777	2092	597
778	2094	594
779	2097	591
780	2099	588
781	2101	585
782	2103	583
783	2106	580
784	2108	577
785	2111	574
786	2113	572
787	2116	569
788	2120	567
789	2122	564
790	2125	561
791	2127	558
792	2130	556
793	2133	553
794	2135	550
795	2139	548
796	2142	545
797	2145	542
798	2147	540
799	2150	537
800	2152	534
801	2155	532
802	2157	529
803	2160	526
804	2163	523
805	2165	521
806	2168	518
807	2170	515
808	2173	513
809	2174	510
810	2176	507
811	2179	504
812	2182	501
813	2184	499
814	2187	496
815	2189	493
816	2192	491
817	2195	488
818	2198	485
819	2200	483
820	2203	480
821	2205	477
822	2207	474
823	2209	471
824	2212	469
825	2214	466
826	2217	463
827	2220	461
828	2223	458
829	2225	455
830	2228	453
831	2230	450
832	2233	447
833	2236	445
834	2238	442
835	2241	439
836	2242	436
837	2246	434
838	2248	431
839	2251	428
840	2254	426
841	2257	423
842	2258	420
843	2262	418
844	2264	415
845	2268	412
846	2271	410
847	2274	407
848	2278	405
849	2284	403
850	2286	400
851	2289	397
852	2291	394
853	2294	392
854	2296	389
855	2299	386
856	2300	383
857	2303	381
858	2305	378
859	2307	375
860	2310	373
861	2312	370
862	2315	367
863	2317	364
864	2319	362
865	2322	359
866	2324	356
867	2327	353
868	2330	351
869	2332	348
870	2335	345
871	2337	343
872	2340	340
873	2343	337
874	2345	335
875	2347	332
876	2350	329
877	2352	326
878	2355	324
879	2357	321
880	2360	318
881	2363	316
882	2365	313
883	2367	310
884	2369	307
885	2372	305
886	2375	302
887	2378	299
888	2380	297
889	2384	294
890	2387	292
891	2389	289
892	2392	286
893	2394	283
894	2397	281
895	2400	278
896	2403	275
897	2406	273
898	2409	270
899	2411	267
900	2413	265
901	2416	262
902	2418	259
903	2420	257
904	2423	254
905	2425	251
906	2429	249
907	2431	246
908	2434	243
909	2436	240
910	2438	238
911	2441	235
912	2444	232
913	2446	230
914	2450	227
915	2452	224
916	2454	222
917	2457	219
918	2460	216
919	2462	214
920	2464	211
921	2467	208
922	2469	206
923	2472	203
924	2475	200
925	2477	197
926	2479	195
927	2482	192
928	2484	189
929	2487	187
930	2490	184
931	2491	181
932	2493	179
933	2496	176
934	2498	173
935	2502	171
936	2505	168
937	2508	165
938	2510	163
939	2513	160
940	2517	157
941	2518	155
942	2521	152
943	2524	149
944	2527	147
945	2529	144
946	2531	141
947	2534	139
948	2536	136
949	2539	133
950	2542	130
951	2544	128
952	2549	125
953	2551	123
954	2555	120
955	2556	117
956	2558	114
957	2561	112
958	2563	109
959	2566	106
960	2568	104
961	2570	101
962	2573	98
963	2575	96
964	2577	93
965	2579	90
966	2582	88
967	2584	85
968	2586	82
969	2589	80
970	2591	77
971	2594	74
972	2598	72
973	2603	69
974	2606	66
975	2607	64
976	2609	61
977	2611	58
978	2614	56
979	2616	53
980	2618	50
981	2621	48
982	2623	45
983	2625	42
984	2628	40
985	2631	37
986	2635	34
987	2641	32
988	2647	29
989	2649	26
990	2652	24
991	2655	21
992	2657	18
993	2660	16
994	2662	13
995	2664	10
996	2667	8
997	2669	5
998	2672	2
999	2674	0
